thumbFlex,indexFlex,middleFlex,ringFlex,littleFlex,indexFront,middleFront,middleSide,ringSide,littleSide,gX,gY,gZ,rotX,rotY,rotZ,letter,userID,sessionID
785,683,733,729,693,0,0,0,0,0,0,0,0,0,0,0,N
781,679,729,726,692,0,0,0,0,0,0,0,0,0,0,0,N
779,675,726,722,692,0,0,0,0,0,0,0,0,0,0,0,N
779,673,726,718,692,0,0,0,0,0,0,0,0,0,0,0,N
779,673,726,714,692,0,0,0,0,0,0,0,0,0,0,0,N
779,673,726,710,692,0,0,0,0,0,0,0,0,0,0,0,N
779,673,726,708,692,0,0,0,0,0,0,0,0,0,0,0,N
779,673,726,708,692,0,0,0,0,0,0,0,0,0,0,0,N
779,673,726,708,691,0,0,0,0,0,0,0,0,0,0,0,N
779,672,726,708,691,0,0,0,0,0,0,0,0,0,0,0,N
792,823,841,717,706,0,0,0,0,0,0,0,0,0,0,0,U
792,823,841,717,706,0,0,0,0,0,0,0,0,0,0,0,U
792,823,841,717,707,0,0,0,0,0,0,0,0,0,0,0,U
793,823,841,718,707,0,0,0,0,0,0,0,0,0,0,0,U
793,822,841,718,707,0,0,0,0,0,0,0,0,0,0,0,U
793,822,841,717,708,0,0,0,0,0,0,0,0,0,0,0,U
793,822,840,718,708,0,0,0,0,0,0,0,0,0,0,0,U
793,822,840,718,708,0,0,0,0,0,0,0,0,0,0,0,U
794,819,840,721,709,0,0,0,0,0,0,0,0,0,0,0,U
793,822,841,718,708,0,0,0,0,0,0,0,0,0,0,0,U
836,824,726,718,698,0,0,0,0,0,0,0,0,0,0,0,L
832,820,722,714,695,0,0,0,0,0,0,0,0,0,0,0,L
829,816,722,710,691,0,0,0,0,0,0,0,0,0,0,0,L
829,812,722,706,687,0,0,0,0,0,0,0,0,0,0,0,L
829,809,722,702,682,0,0,0,0,0,0,0,0,0,0,0,L
829,809,722,702,682,0,0,0,0,0,0,0,0,0,0,0,L
829,809,722,702,682,0,0,0,0,0,0,0,0,0,0,0,L
829,809,722,702,682,0,0,0,0,0,0,0,0,0,0,0,L
829,809,722,702,682,0,0,0,0,0,0,0,0,0,0,0,L
828,808,722,702,682,0,0,0,0,0,0,0,0,0,0,0,L
753,691,733,726,729,0,0,0,0,0,0,0,0,0,0,0,E
745,687,729,722,726,0,0,0,0,0,0,0,0,0,0,0,E
741,679,726,718,722,0,0,0,0,0,0,0,0,0,0,0,E
738,675,718,714,718,0,0,0,0,0,0,0,0,0,0,0,E
738,672,714,710,714,0,0,0,0,0,0,0,0,0,0,0,E
738,668,710,706,710,0,0,0,0,0,0,0,0,0,0,0,E
738,664,709,702,702,0,0,0,0,0,0,0,0,0,0,0,E
